Strength,Censored
26.8,TRUE
43.9,FALSE
52.6,FALSE
54.8,FALSE
57.1,FALSE
59.6,FALSE
29.6,TRUE
49.9,FALSE
52.7,FALSE
54.8,FALSE
57.1,FALSE
60.4,FALSE
33.4,TRUE
50.1,FALSE
53.1,FALSE
55.1,FALSE
57.3,FALSE
60.7,FALSE
35,TRUE
50.8,FALSE
53.6,FALSE
55.4,FALSE
57.7,FALSE
36.3,FALSE
51.9,FALSE
53.6,FALSE
55.9,FALSE
57.8,FALSE
40,TRUE
52.1,FALSE
53.9,FALSE
56,FALSE
58.1,FALSE
41.7,FALSE
52.3,FALSE
53.9,FALSE
56.1,FALSE
58.9,FALSE
41.9,TRUE
52.3,FALSE
54.1,FALSE
56.5,FALSE
59,FALSE
42.5,TRUE
52.4,FALSE
54.6,FALSE
56.9,FALSE
59.1,FALSE
